# Time series of US dollars raised by Jill Stein's recount fundraiser for the
# 2016 US presidential election.
#
# MINUTES = time datum scraped, in minutes elapsed after the first datum
# DOLLARS = US dollars raised, as scraped from her campaign's website
MINUTES	DOLLARS
1290.33	3783660
1292.1	3789226
1293.85	3791617
1295.42	3795587
1297.08	3798694
1298.73	3805573
1300.58	3809698
1302.23	3813976
1304.27	3816304
1306.2	3823479
1307.75	3828397
1312.63	3837366
1314.6	3841186
1316.17	3844186
1317.98	3850257.01
1319.65	3853454.01
1321.58	3857641.01
1323.4	3860299
1325.28	3866253.99
1327.28	3870975.99
1329.07	3875502.64
1330.75	3879356.64
1332.67	3885129.64
1334.27	3887256.64
1335.93	3892481.16
1337.9	3896163.32
1339.57	3901033.14
1341.45	3908351.14
1343.42	3910124.14
1345.32	3914191.23
1347.07	3916512.27
1348.82	3918873.27
1350.42	3921875.57
1352.37	3924028.57
1354.27	3928733
1355.82	3931051
1357.35	3933896
1359.15	3939390.11
1360.88	3941914.11
1362.97	3945471.11
1364.75	3951253.99
1366.5	3952891.99
1368.35	3955497.77
1370.32	3959072.77
1372.05	3962000.69
1373.97	3964588.69
1375.65	3968367
1377.4	3972424.5
1379.12	3973604.5
1381.12	3975593.5
1382.7	3979338
1384.65	3985134
1386.45	3987635.85
1388.38	3991785.84
1390.97	3998458.85
1392.95	4001514.85
1394.9	4005993.85
1396.52	4008649.85
1398.48	4012115.85
1400.4	4016136.85
1402.17	4021346.85
1403.82	4024222.69
1405.65	4027407.69
1407.23	4029697.64
1408.77	4032146.64
1410.72	4034914.64
1412.77	4038103.64
1414.82	4043812.03
1416.72	4045871.03
1418.67	4048423.03
1420.43	4051729.66
1422.27	4054286.66
1424.38	4057279.66
1426.65	4059981.77
1428.3	4062974.09
1430.12	4065474.09
1432.22	4067568.09
1434.08	4072576.09
1436.43	4075381.18
1438.35	4076541.18
1440.35	4079415.18
1442.27	4081434.18
1443.78	4085309.18
1445.45	4086759.18
1447.45	4088211.18
1449.33	4093630.18
1451.17	4096189.68
1453.15	4098694.5
1455.12	4106089.5
1456.8	4108103.5
1458.65	4110956.7
1460.5	4113240.7
1462.18	4114549.7
1463.9	4117933.7
1465.55	4119314.7
1467.33	4121077.7
1469.23	4124036.7
1471.02	4124691.7
1472.7	4131265
1474.55	4134899.11
1476.17	4136616.11
1477.77	4139514.11
1479.33	4141230.11
1481.33	4144214.25
1483	4149241.25
1484.73	4150884.25
1486.5	4153674.25
1488.47	4155662.75
1490.22	4157545
1492	4159965
1493.8	4162089
1495.78	4163646
1497.48	4164492
1499.2	4166748
1500.9	4169172
1502.62	4170459
1504.17	4171825
1505.72	4174781
1507.28	4177327
1508.93	4179584
1510.65	4182465
1512.63	4184801.08
1514.28	4186156.08
1516.18	4188572.08
1518.17	4191412.08
1520.03	4192771.08
1521.78	4195022.08
1523.38	4198053.08
1525.23	4199818.08
1526.9	4201155.04
1528.58	4202186.04
1530.62	4206335.58
1532.57	4208334.59
1534.35	4209282.59
1536.05	4210709.59
1537.65	4211910.59
1539.35	4213383.59
1540.93	4214969.59
1542.63	4219068.2
1544.37	4219997.2
1546.5	4222663.61
1548.38	4226038.61
1550.38	4229011.61
1552.63	4230765.61
1554.5	4232166
1556.5	4233843.5
1558.5	4236104.59
1560.13	4238111.28
1561.7	4240152.28
1563.7	4242930.28
1565.58	4244002.28
1567.28	4246637.39
1568.88	4247744.39
1570.62	4249152.39
1572.63	4251821.39
1574.35	4252136.39
1576.32	4255491.76
1578.1	4256689.76
1579.68	4257246.76
1581.67	4260846.99
1583.9	4261841.99
1585.75	4263668.99
1587.67	4267029.99
1589.63	4268729.99
1591.32	4269560.99
1593.25	4270638
1594.97	4277321
1596.52	4279870
1598.42	4280654
1600.28	4282986.5
1602.08	4284838.16
1603.8	4286045.16
1605.38	4288008.16
1607.32	4288815.16
1609.32	4290237.2
1611.13	4292883.2
1613.05	4295521.61
1614.63	4296006.86
1616.3	4299286.86
1618.05	4300814.86
1619.62	4301560.86
1621.27	4302645.86
1623.1	4303475.86
1624.87	4304934
1626.45	4305986
1628.32	4307242
1629.85	4308397
1631.47	4310093.35
1633.27	4311447.62
1635.08	4313510.62
1636.82	4313961.62
1638.72	4315010.62
1640.6	4316106.62
1642.37	4318332.62
1643.97	4319910
1645.8	4321317
1647.37	4322794
1649.03	4323185
1650.75	4324770
1652.33	4325626
1654.15	4328049
1655.9	4329903
1657.52	4331834
1659.1	4333438
1660.68	4334519
1662.82	4335636
1664.62	4338420.23
1666.55	4340324.23
1668.33	4341183.23
1670.07	4342653.23
1671.85	4343144.93
1673.8	4345703.93
1675.75	4348599.93
1677.4	4351280.93
1678.98	4353267.93
1680.52	4353998.93
1682.48	4356122
1684.37	4357873
1685.95	4358343
1687.67	4361640
1689.42	4363374
1691.12	4364071
1692.68	4365639
1694.38	4368231
1696.12	4368855
1697.72	4370073
1699.32	4372083
1701.23	4373960.86
1702.8	4374928.86
1704.33	4375762.86
1706.07	4377038
1707.6	4378543
1709.38	4379645
1711.08	4380883
1713.08	4383596.01
1714.87	4384885.01
1716.55	4387168.01
1718.33	4389057.01
1720.27	4389746.08
1721.83	4391400.08
1723.7	4392808
1725.5	4394219
1727.4	4395292
1729.27	4396712
1731.17	4398408
1732.92	4403627.81
1734.55	4404192.69
1736.32	4408607.69
1738.15	4410915.69
1740.13	4411936.69
1742.05	4412729.69
1743.62	4414445.69
1745.17	4417245.69
1747.08	4418127.69
1748.67	4419074.69
1750.53	4422033.85
1752.23	4423724.85
1754.1	4425046.85
1755.68	4425908.85
1757.48	4429185.28
1759.03	4431339.28
1760.93	4433190.28
1762.57	4435014.78
1764.23	4435993.78
1765.93	4437349.78
1767.47	4438404.78
1769.35	4442692.78
1771	4443954.78
1772.87	4445058.78
1774.55	4446391.78
1776.28	4447220.78
1778.27	4448824.28
1780.02	4449989.28
1781.55	4451956.28
1783.12	4453083.28
1785.08	4454601.28
1786.7	4456564.49
1788.68	4458574.49
1790.6	4459792.99
1792.58	4462679.99
1794.52	4464837.99
